PATH,GENRE AS SHOWN ON THE STORE,GENRE CODE FOR METADATA,GENRE ID
Music | African,African,AFRICA-00,1203
Music | African | African Dancehall,African Dancehall,AFRICAN-DANCEHALL-00,45
Music | African | African Reggae,African Reggae,AFRICAN-REGGAE-00,46
Music | African | Afrikaans,Afrikaans,AFRIKAANS-00,1281
Music | African | Afro House,Afro House,AFRO-HOUSE-00,100049
Music | African | Afro Soul,Afro Soul,AFRO-SOUL-00,100050
Music | African | Afro-Beat,Afro-Beat,AFRO-BEAT-00,1177
Music | African | Afro-folk,Afro-folk,AFRO-FOLK-00,43
Music | African | Afro-fusion,Afro-fusion,AFRO-FUSION-00,44
Music | African | Afro-Pop,Afro-Pop,AFRO-POP-00,1178
Music | African | Afrobeats,Afrobeats,AFROBEATS-00,100051
Music | African | Alte,Alte,ALTE-00,41
Music | African | Amapiano,Amapiano,AMAPIANO-00,42
Music | African | Benga,Benga,BENGA-00,100052
Music | African | Bongo-Flava,Bongo-Flava,BONGO-FLAVA-00,100053
Music | African | Chimurenga,Chimurenga,CHIMURENGA-00,50000142
Music | African | Coupé-Décalé,Coupé-Décalé,COUPE-DECALE-00,100054
Music | African | Fuji,Fuji,FUJI-00,50000145
Music | African | Genge,Genge,GENGE-00,50000139
Music | African | Gqom,Gqom,GQOM-00,100055
Music | African | Highlife,Highlife,HIGHLIFE-00,100056
Music | African | Kizomba,Kizomba,KIZOMBA-00,100058
Music | African | Kuduro,Kuduro,KUDURO-00,100057
Music | African | Kwaito,Kwaito,KWAITO-00,100059
Music | African | Kwassa,Kwassa,KWASSA-00,50000148
Music | African | Mapouka,Mapouka,MAPOUKA-00,50000151
Music | African | Maskandi,Maskandi,MASKANDI-00,100073
Music | African | Mbalax,Mbalax,MBALAX-00,100060
Music | African | Ndombolo,Ndombolo,NDOMBOLO-00,100061
Music | African | Shangaan Electro,Shangaan Electro,SHANGAAN-ELECTRO-00,100062
Music | African | Soukous,Soukous,SOUKOUS-00,100063
Music | African | Taarab,Taarab,TAARAB-00,100064
Music | African | Zouglou,Zouglou,ZOUGLOU-00,100065
Music | Alternative,Alternative,ALTERNATIVE-00,20
Music | Alternative | Chinese Alt,Chinese Alt,CHINESE-ALT-00,1230
Music | Alternative | College Rock,College Rock,COLLEGE-ROCK-00,1001
Music | Alternative | EMO,EMO,EMO-00,100018
Music | Alternative | Goth Rock,Goth Rock,GOTH-ROCK-00,1002
Music | Alternative | Grunge,Grunge,GRUNGE-00,1003
Music | Alternative | Indie Egyptian,Indie Egyptian,INDIE-EGYPTIAN-00,100098
Music | Alternative | Indie Levant,Indie Levant,INDIE-LEVANT-00,100097
Music | Alternative | Indie Maghreb,Indie Maghreb,INDIE-MAGHREB-00,100099
Music | Alternative | Indie Pop,Indie Pop,INDIE-POP-00,100020
Music | Alternative | Indie Rock,Indie Rock,INDIE-ROCK-00,1004
Music | Alternative | Korean Indie,Korean Indie,KOREAN-INDIE-00,1231
Music | Alternative | New Wave,New Wave,NEW-WAVE-00,1005
Music | Alternative | Pop Punk,Pop Punk,POP-PUNK-00,100019
Music | Alternative | Punk,Punk,PUNK-00,1006
